Evasao,Meses_Contrato,Faturamento_Mensal,Faturamento_Total,Gasto_Diario
1,46,40.94833466396208,5447.27405527307,1.3649444887987359
0,10,61.460189002784084,4417.8304641436,2.0486729667594696
0,23,46.71803342984672,4694.328681786904,1.5572677809948907
0,17,79.58437144543359,8672.667528398513,2.652812381514453
0,10,51.41932486116721,553.0523132138678,1.7139774953722404
1,2,105.05235057165179,5443.50748909066,3.5017450190550594
0,66,61.46578501824071,7846.806738104532,2.0488595006080237
0,71,45.91436083379122,1953.3223956254135,1.5304786944597073
0,25,30.801377742716156,2074.1158728982323,1.026712591423872
0,60,82.44714011343287,5628.5949112729195,2.7482380037810956
0,68,100.49495450454948,4382.852639716302,3.349831816818316
1,3,90.78575452162114,6132.894681713479,3.0261918173873714
0,62,66.16834273416337,458.6637136970632,2.2056114244721123
0,39,111.23620665703163,654.2444519784722,3.7078735552343876
1,10,95.22485766665754,6010.6736760255935,3.174161922221918
0,56,61.34218797206713,68.64999956735976,2.044739599068904
0,27,52.39246730353318,5527.487390656801,1.7464155767844394
0,41,92.7772751076491,3262.017866039892,3.092575836921637
0,45,31.744139590055998,2302.358053874679,1.0581379863351998
0,67,71.35748184636748,6676.160705767862,2.3785827282122494
0,5,53.90011268681415,8340.729653182507,1.7966704228938049
0,43,104.42185516924995,4627.495835781706,3.480728505641665
0,21,105.53983566589767,4495.136260398221,3.517994522196589
1,46,62.52499365408457,7564.310155132419,2.084166455136152
0,66,98.10144074464688,3415.9568983311715,3.2700480248215626
0,17,91.64037281436795,899.3187562883417,3.054679093812265
1,48,25.219509328076754,1464.117952444432,0.8406503109358918
0,11,33.032281288885535,971.0931770490982,1.1010760429628512
1,57,103.68042592006563,361.90353367116836,3.456014197335521
1,17,81.31492316080931,4700.6861745106935,2.710497438693644
0,60,23.76799579485137,2563.067745064194,0.7922665264950457
0,50,47.42990509390063,1164.8361274862123,1.5809968364633542
1,26,65.73640650993897,321.1884939751152,2.191213550331299
0,70,37.38672094756261,5776.981303722421,1.2462240315854203
0,10,110.29551385746291,5324.929179127936,3.676517128582097
0,32,113.4705293065233,4868.943221684959,3.78235097688411
0,53,62.209872239859244,5599.968930585591,2.0736624079953083
0,64,57.900837522214786,4747.016762279987,1.9300279174071595
0,58,26.044583311037847,4346.677573564909,0.8681527770345949
0,34,88.9665291097081,7392.979579751834,2.9655509703236036
0,24,76.51324106149532,8058.075017983855,2.550441368716511
0,15,73.42843673345052,4137.243289326151,2.447614557781684
0,46,57.88364053278011,1415.987180952645,1.9294546844260039
1,14,54.55063563359031,7795.514551971197,1.818354521119677
0,57,28.920828202418306,2426.7562355961,0.9640276067472768
0,55,64.36918688504787,1049.9743482327892,2.145639562834929
1,57,65.61175568040414,3853.406446347348,2.1870585226801382
0,3,95.09562159571858,2279.6430987728113,3.1698540531906194
1,50,60.49800689917336,6676.130325008123,2.0166002299724455
0,43,32.514278547843574,7076.547624853961,1.0838092849281191
0,57,66.35062837762977,4309.758761182925,2.2116876125876592
0,24,48.581282140919555,7332.722575624771,1.619376071363985
0,46,84.02644475798989,5049.312259795787,2.8008814919329965
1,22,61.0557495644276,2008.130286044501,2.035191652147587
1,57,48.26318764097195,1231.7113605175016,1.6087729213657316
0,26,86.1595943355012,228.23699114983543,2.8719864778500397
0,8,22.629441933963705,7349.254623053035,0.7543147311321234
